date,time edt,temp c,spcond (ms/cm),ph,do (mg/l),do (%),turbidity (fnu),chlorophyll (rfu),phycocyanin (rfu),est. cyano (cells/ml),est.chl a (ug/l)
06/05/2025,13:00,21.59,.61,7.7,9.57,108.8,2.34,6.22,1.28,17400,31.2
06/05/2025,13:15,21.31,.61,7.66,9.49,107.2,2.32,7.39,1.43,17200,33.7
06/05/2025,13:30,21.6,.61,7.76,9.75,110.8,2.37,8.32,1.7,17400,36.2
06/05/2025,13:45,21.8,.61,7.8,9.9,112.9,2.5,7.83,1.67,17800,38
06/05/2025,14:00,22.27,.6,7.76,9.75,112.3,2.77,7.76,2.14,18200,39.7
06/05/2025,14:15,22.63,.6,7.77,9.7,112.5,2.49,8.67,1.84,21200,40.2
06/05/2025,14:15,22.63,.6,7.77,9.7,112.5,2.49,8.67,1.84,21200,40.2
06/05/2025,14:30,22.23,.6,7.75,9.7,111.7,2.49,8.23,1.71,21200,40.9
06/05/2025,14:45,22.53,.59,7.67,9.49,109.9,2.17,6.04,1.11,21200,40.2
06/05/2025,15:00,22.19,.59,7.63,9.42,108.3,2.19,6.22,1.14,21200,40.2
06/05/2025,15:15,22.2,.59,7.64,9.45,108.7,2.22,6.05,1.16,21200,40.2
06/05/2025,15:30,22.18,.59,7.65,9.48,109,2.23,6.24,1.34,21200,39.7
06/05/2025,15:45,22,.59,7.64,9.41,107.8,2.26,7.36,1.32,15400,35.1
06/05/2025,16:00,21.91,.59,7.65,9.44,108,2.23,8.13,1.43,14600,35.1
06/05/2025,16:15,21.97,.59,7.64,9.43,108,2.32,7.59,1.28,14600,33.1
06/05/2025,16:30,22.06,.59,7.63,9.45,108.4,2.2,6.17,1.06,14500,30.6
06/05/2025,16:45,22.27,.6,7.71,9.68,111.5,2.24,7.2,1.2,14600,32.2
06/05/2025,17:00,22.35,.59,7.72,9.67,111.6,2.25,6.96,1.11,14700,33.3
06/05/2025,17:15,22.47,.59,7.77,9.82,113.6,2.15,6.87,1.16,14700,33.3
06/05/2025,17:30,22.5,.59,7.74,9.73,112.5,2.19,6.38,1.05,14700,32.6
06/05/2025,17:45,22.44,.59,7.72,9.68,111.9,2.19,6.98,1.11,14200,31.9
06/05/2025,18:00,22.59,.59,7.83,9.96,115.4,2.21,7.24,1.19,14000,31.9
06/05/2025,18:15,22.44,.59,7.74,9.75,112.6,2.33,7.16,1.24,14000,31.9
06/05/2025,18:30,22.38,.59,7.72,9.71,112.1,2.24,6.49,1.02,14500,31.9
06/05/2025,18:45,22.33,.59,7.71,9.69,111.7,2.1,7,1,13800,31.6
06/05/2025,19:00,22.36,.59,7.73,9.72,112.1,2.15,5.52,1,13600,31.1
06/05/2025,19:15,22.41,.59,7.75,9.84,113.6,2.19,8.11,1.15,13600,31.3
06/05/2025,19:30,22.37,.59,7.75,9.71,112.1,2.23,6.96,1.04,13800,31.3
06/05/2025,19:45,22.5,.59,7.79,9.85,113.9,2.28,7.58,1.26,14300,31.7
06/05/2025,20:00,22.58,.59,7.76,9.78,113.3,2.23,8.71,1.32,14600,31.7
06/05/2025,20:15,22.52,.59,7.75,9.74,112.6,2.24,8.11,1.19,14600,32.3
06/05/2025,20:30,22.72,.59,7.79,9.79,113.7,2.14,7.43,1.16,14100,33.6
06/05/2025,20:45,22.67,.59,7.74,9.62,111.7,2.1,6.99,.97,14100,33.6
06/05/2025,21:00,22.97,.59,7.84,9.86,115,2.07,6.86,1.01,14100,33.6
06/05/2025,21:30,22.95,.59,7.79,9.73,113.5,2.05,6.68,.98,12300,33.4
06/05/2025,21:45,23.01,.59,7.83,9.8,114.5,1.99,6.8,1.02,11300,30.7
06/05/2025,22:00,22.79,.59,7.69,9.5,110.5,2.19,6.6,1.08,11300,30.3
06/05/2025,22:15,22.7,.59,7.7,9.55,110.9,2.11,5.74,.93,11300,30.1
06/05/2025,22:30,22.58,.59,7.67,9.43,109.3,2.1,6.46,.88,11300,29.4
06/05/2025,22:45,22.57,.59,7.65,9.41,109,2.1,6.58,.94,11300,29.2
06/05/2025,23:00,22.55,.59,7.64,9.37,108.5,2.06,6.48,.89,11300,28.7
06/05/2025,23:15,22.56,.59,7.63,9.32,108,2.04,7.18,.9,10800,28.7
06/05/2025,23:30,22.56,.59,7.63,9.32,107.9,2.08,6.25,.96,11000,28.5
06/05/2025,23:45,22.56,.59,7.63,9.32,107.9,2.06,6.37,.89,11000,28.1
