Date_Collected,Component_Name,Site_ID,Site_Name,Latitude_DD,Longitude_DD,Reporting_Result,Unit_Abbreviation,Town,Safety
2024-07-16 0:00:00,Escherichia coli,760T,Muddy River at Commonwealth Ave.,42.3487,-71.0918,109,cfu/100ml,Boston,Safe
2024-07-16 0:00:00,Escherichia coli,318S,Rt. 27 Bridge / S. Main St.,42.2099,-71.3517,74,cfu/100ml,Medfield/Sherborn,Safe
2024-07-16 0:00:00,Escherichia coli,290S,West St. / Dover Rd. ,42.1888,-71.3333,74,cfu/100ml,Medfield/Millis,Safe
2024-07-16 0:00:00,Escherichia coli,269T,Causeway St./ Stop River,42.1585,-71.3029,272,cfu/100ml,Medfield,No Swimming
2024-07-16 0:00:00,Escherichia coli,229S,"Rt. 115, Baltimore St.",42.1433,-71.3493,30,cfu/100ml,Millis,Safe
2024-07-16 0:00:00,Escherichia coli,199S,Populatic Pond Boat Launch,42.1311,-71.3768,30,cfu/100ml,Norfolk,Safe
2024-07-16 0:00:00,Escherichia coli,165S,Shaw St. / Elm St. Bridge,42.1365,-71.4185,272,cfu/100ml,Franklin/Medway,No Swimming
2024-07-16 0:00:00,Escherichia coli,343S,Farm Rd./Bridge St.,42.2326,-71.3303,31,cfu/100ml,Dover/Sherborn,Safe
2024-07-16 0:00:00,Escherichia coli,784S,New Charles River Dam,42.369,-71.0617,30,cfu/100ml,Boston,Safe
2024-07-16 0:00:00,Escherichia coli,012S,Watertown Dam Footbridge,42.3651,-71.1903,591,cfu/100ml,Watertown,No Swimming
2024-07-16 0:00:00,Escherichia coli,743S,Western Ave. Bridge,42.3642,-71.1168,132,cfu/100ml,Boston/Cambridge,Safe
2024-07-16 0:00:00,Escherichia coli,729S,Eliot St. Bridge,42.3716,-71.1328,155,cfu/100ml,Boston/Cambridge,Safe
2024-07-16 0:00:00,Escherichia coli,715S,Arsenal St. Bridge,42.3616,-71.1473,350,cfu/100ml,Brighton/Watertown,No Swimming
2024-07-16 0:00:00,Escherichia coli,700S,N. Beacon St. Bridge,42.3589,-71.1616,464,cfu/100ml,Brighton/Watertown,No Swimming
2024-07-16 0:00:00,Escherichia coli,763S,Massachusetts Ave. (Harvard) Bridge,42.3544,-71.0914,5,cfu/100ml,Boston/Cambridge,Safe
2024-07-16 0:00:00,Escherichia coli,90CS,"Rt. 126, N. Main St.",42.0943,-71.476,134,cfu/100ml,Bellingham,Safe
2024-07-16 0:00:00,Escherichia coli,130S,Maple St. Bridge,42.1195,-71.4534,74,cfu/100ml,Bellingham,Safe
2024-07-16 0:00:00,Escherichia coli,662S,Moody St. Bridge,42.3732,-71.2367,110,cfu/100ml,Waltham,Safe
2024-07-16 0:00:00,Escherichia coli,773S,Longfellow Bridge,42.3614,-71.0754,416,cfu/100ml,Cambridge,No Swimming
2024-07-16 0:00:00,Escherichia coli,675S,North St. Bridge,42.3672,-71.2182,278,cfu/100ml,Newton/Waltham/Watertown,No Swimming
2024-07-16 0:00:00,Escherichia coli,CHE7,DS Cheesecake mouth,42.36472,-71.21305,2250,cfu/100ml,Newton,Not safe for activities
2024-07-16 0:00:00,Escherichia coli,635S,2391 Commonwealth Ave.,42.3448,-71.2599,107,cfu/100ml,Newton,Safe
2024-07-16 0:00:00,Escherichia coli,621S,Leo J. Martin Golf Course / Park Rd.,42.3306,-71.268,216,cfu/100ml,Newton/Weston,Safe
2024-07-16 0:00:00,Escherichia coli,609S,Washington St. Bridge,42.3252,-71.2585,121,cfu/100ml,Wellesley/Newton,Safe
2024-07-16 0:00:00,Escherichia coli,59CS,Mellen St. Bridge,42.1169,-71.5014,1670,cfu/100ml,Bellingham/Hopedale/Milford,Not safe for activities
2024-07-16 0:00:00,Escherichia coli,591S,Rt. 9 Gaging Station,42.3165,-71.2281,52,cfu/100ml,Newton/Wellesley,Safe
2024-07-16 0:00:00,Escherichia coli,567S,Nahanton Park,42.2971,-71.2078,74,cfu/100ml,Needham/Newton,Safe
2024-07-16 0:00:00,Escherichia coli,387S,Elm Bank / Cheney Dr. Bridge,42.2757,-71.3095,97,cfu/100ml,Wellesley/Dover,Safe
2024-07-16 0:00:00,Escherichia coli,35CS,Central Street Bridge,42.1395,-71.5123,842,cfu/100ml,Milford,No Swimming
2024-07-16 0:00:00,Escherichia coli,400S,Charles River Road Bridge,42.2693,-71.2998,134,cfu/100ml,Dover/Needham,Safe
2024-07-16 0:00:00,Escherichia coli,447S,"USGS Dover Gage, Mill St.",42.2563,-71.2596,98,cfu/100ml,Dover/Needham,Safe
2024-07-16 0:00:00,Escherichia coli,484S,Greendale Ave. / Lyons St. / Dedham Medical Center,42.267,-71.205,327,cfu/100ml,Dedham/Needham ,No Swimming
2024-07-16 0:00:00,Escherichia coli,521S,Ames St. Bridge,42.2524,-71.1763,85,cfu/100ml,Dedham,Safe
2024-07-16 0:00:00,Escherichia coli,534S,Rt. 109 Bridge,42.2708,-71.1732,426,cfu/100ml,Boston/Dedham,No Swimming
2024-07-16 0:00:00,Escherichia coli,CHE_OUT2,Cheesecake Brook S. Albemarle Rd Outfall,42.3568,-71.21604,5,cfu/100ml,Newton,Safe
2024-06-11 0:00:00,Escherichia coli,743S,Western Ave. Bridge,42.3642,-71.1168,313,cfu/100ml,Boston/Cambridge,No Swimming
2024-06-11 0:00:00,Escherichia coli,318S,Rt. 27 Bridge / S. Main St.,42.2099,-71.3517,30,cfu/100ml,Medfield/Sherborn,Safe
2024-06-11 0:00:00,Escherichia coli,130S,Maple St. Bridge,42.1195,-71.4534,85,cfu/100ml,Bellingham,Safe
2024-06-11 0:00:00,Escherichia coli,290S,West St. / Dover Rd. ,42.1888,-71.3333,31,cfu/100ml,Medfield/Millis,Safe
2024-06-11 0:00:00,Escherichia coli,269T,Causeway St./ Stop River,42.1585,-71.3029,41,cfu/100ml,Medfield,Safe
2024-06-11 0:00:00,Escherichia coli,267S,Dwight St. Bridge,42.1735,-71.3232,52,cfu/100ml,Millis/Medfield,Safe
2024-06-11 0:00:00,Escherichia coli,229S,"Rt. 115, Baltimore St.",42.1433,-71.3493,108,cfu/100ml,Millis,Safe
2024-06-11 0:00:00,Escherichia coli,199S,Populatic Pond Boat Launch,42.1311,-71.3768,171,cfu/100ml,Norfolk,Safe
2024-06-11 0:00:00,Escherichia coli,165S,Shaw St. / Elm St. Bridge,42.1365,-71.4185,318,cfu/100ml,Franklin/Medway,No Swimming
2024-06-11 0:00:00,Escherichia coli,012S,Watertown Dam Footbridge,42.3651,-71.1903,317,cfu/100ml,Watertown,No Swimming
2024-06-11 0:00:00,Escherichia coli,784S,New Charles River Dam,42.369,-71.0617,41,cfu/100ml,Boston,Safe
2024-06-11 0:00:00,Escherichia coli,773S,Longfellow Bridge,42.3614,-71.0754,74,cfu/100ml,Cambridge,Safe
2024-06-11 0:00:00,Escherichia coli,700S,N. Beacon St. Bridge,42.3589,-71.1616,318,cfu/100ml,Brighton/Watertown,No Swimming
2024-06-11 0:00:00,Escherichia coli,760T,Muddy River at Commonwealth Ave.,42.3487,-71.0918,2140,cfu/100ml,Boston,Not safe for activities
2024-06-11 0:00:00,Escherichia coli,59CS,Mellen St. Bridge,42.1169,-71.5014,272,cfu/100ml,Bellingham/Hopedale/Milford,No Swimming
2024-06-11 0:00:00,Escherichia coli,729S,Eliot St. Bridge,42.3716,-71.1328,512,cfu/100ml,Boston/Cambridge,No Swimming
2024-06-11 0:00:00,Escherichia coli,715S,Arsenal St. Bridge,42.3616,-71.1473,298,cfu/100ml,Brighton/Watertown,No Swimming
2024-06-11 0:00:00,Escherichia coli,343S,Farm Rd./Bridge St.,42.2326,-71.3303,31,cfu/100ml,Dover/Sherborn,Safe
2024-06-11 0:00:00,Escherichia coli,763S,Massachusetts Ave. (Harvard) Bridge,42.3544,-71.0914,364,cfu/100ml,Boston/Cambridge,No Swimming
2024-06-11 0:00:00,Escherichia coli,675S,North St. Bridge,42.3672,-71.2182,292,cfu/100ml,Newton/Waltham/Watertown,No Swimming
2024-06-11 0:00:00,Escherichia coli,90CS,"Rt. 126, N. Main St.",42.0943,-71.476,327,cfu/100ml,Bellingham,No Swimming
2024-06-11 0:00:00,Escherichia coli,567S,Nahanton Park,42.2971,-71.2078,135,cfu/100ml,Needham/Newton,Safe
2024-06-11 0:00:00,Escherichia coli,400S,Charles River Road Bridge,42.2693,-71.2998,85,cfu/100ml,Dover/Needham,Safe
2024-06-11 0:00:00,Escherichia coli,CHE7,DS Cheesecake mouth,42.36472,-71.21305,1900,cfu/100ml,Newton,Not safe for activities
2024-06-11 0:00:00,Escherichia coli,662S,Moody St. Bridge,42.3732,-71.2367,134,cfu/100ml,Waltham,Safe
2024-06-11 0:00:00,Escherichia coli,648S,"Auburndale Park, Lakes Region",42.3615,-71.2501,107,cfu/100ml,Waltham,Safe
2024-06-11 0:00:00,Escherichia coli,635S,2391 Commonwealth Ave.,42.3448,-71.2599,175,cfu/100ml,Newton,Safe
2024-06-11 0:00:00,Escherichia coli,621S,Leo J. Martin Golf Course / Park Rd.,42.3306,-71.268,85,cfu/100ml,Newton/Weston,Safe
2024-06-11 0:00:00,Escherichia coli,609S,Washington St. Bridge,42.3252,-71.2585,120,cfu/100ml,Wellesley/Newton,Safe
2024-06-11 0:00:00,Escherichia coli,387S,Elm Bank / Cheney Dr. Bridge,42.2757,-71.3095,41,cfu/100ml,Wellesley/Dover,Safe
2024-06-11 0:00:00,Escherichia coli,MRBB,Muddy River Babbling Brook - along Pond Ave close to Chestnut St Rotary,42.324,-71.117,228,cfu/100ml,Brookline,Safe
2024-06-11 0:00:00,Escherichia coli,35CS,Central Street Bridge,42.1395,-71.5123,393,cfu/100ml,Milford,No Swimming
2024-06-11 0:00:00,Escherichia coli,447S,"USGS Dover Gage, Mill St.",42.2563,-71.2596,109,cfu/100ml,Dover/Needham,Safe
2024-06-11 0:00:00,Escherichia coli,484S,Greendale Ave. / Lyons St. / Dedham Medical Center,42.267,-71.205,63,cfu/100ml,Dedham/Needham ,Safe
