turbidity_ntu,temperature_c,conductance_ms,ph,do_mg_l,rain_day0_in,rain_lag1_in,rain_lag2_in,rain_3day_cum,month,doy_sin,doy_cos,hour,station_id,ecoli_cfu,date_collected,source
,1.904,,7.59,,0.0,0.0,0.0,0.0,12,-0.154308820664281,0.9880226656636976,9,83,41.0,2025-12-22 09:52:00,mystic
,1.996,,7.67,11.61,0.0,0.0,0.0,0.0,12,-0.154308820664281,0.9880226656636976,9,66,86.0,2025-12-22 09:45:00,mystic
,1.986,,7.06,12.11,0.0,0.0,0.0,0.0,12,-0.154308820664281,0.9880226656636976,9,177,145.0,2025-12-22 09:05:00,mystic
,4.014,,7.47,9.83,0.04,0.0,0.0,0.04,12,-0.3536761221763721,0.935367949313148,10,83,30.0,2025-12-10 10:08:00,mystic
,2.575,,7.61,10.01,0.04,0.0,0.0,0.04,12,-0.3536761221763721,0.935367949313148,10,66,292.0,2025-12-10 10:00:00,mystic
,2.264,,7.67,10.94,0.04,0.0,0.0,0.04,12,-0.3536761221763721,0.935367949313148,9,177,62.0,2025-12-10 09:11:00,mystic
,7.403,,7.05,8.09,0.0,0.0,0.1,0.1,11,-0.594726686960764,0.8039279618328208,9,83,10.0,2025-11-24 09:53:00,mystic
,6.808,,7.02,9.09,0.0,0.0,0.1,0.1,11,-0.594726686960764,0.8039279618328208,9,66,74.0,2025-11-24 09:44:00,mystic
,6.298,,6.24,9.34,0.0,0.0,0.1,0.1,11,-0.594726686960764,0.8039279618328208,8,177,331.0,2025-11-24 08:58:00,mystic
,6.854,,6.5,10.91,0.01,0.0,0.0,0.01,11,-0.7354170229639858,0.6776147890466887,11,167,292.0,2025-11-13 11:41:00,mystic
,9.858,,7.1,7.95,0.01,0.0,0.0,0.01,11,-0.7354170229639858,0.6776147890466887,10,83,31.0,2025-11-13 10:01:00,mystic
,9.468,,7.2,8.07,0.01,0.0,0.0,0.01,11,-0.7354170229639858,0.6776147890466887,9,66,86.0,2025-11-13 09:54:00,mystic
,7.863,,6.63,8.59,0.01,0.0,0.0,0.01,11,-0.7354170229639858,0.6776147890466887,9,177,216.0,2025-11-13 09:12:00,mystic
,10.714,,7.49,10.59,0.0,0.0,0.0,0.0,10,-0.8840675099433637,0.467359217158002,9,167,132.0,2025-10-29 09:09:00,mystic
,11.682,,6.81,9.92,0.0,0.0,0.0,0.0,10,-0.8840675099433637,0.467359217158002,8,66,132.0,2025-10-29 08:28:00,mystic
